Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'which to redu do when i am not at home'
# - processed in 3.577 seconds.
# - WER = 0.3
# File (12_A_1.wav):
# - 2.5516875 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a theanar turn on the lights'
# - processed in 2.602 seconds.
# - WER = 0.4
# File (12_A_2.wav):
# - 2.49 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'minervar turn on the lights'
# - processed in 2.521 seconds.
# - WER = 0.2
# File (12_A_3.wav):
# - 2.39 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'ar to mas turn on the lights'
# - processed in 2.421 seconds.
# - WER = 0.6
# File (12_A_4.wav):
# - 2.2240625 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'fray am turn on the lights'
# - processed in 2.238 seconds.
# - WER = 0.4
# File (12_A_5.wav):
# - 2.426875 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'james turn on the lights'
# - processed in 2.445 seconds.
# - WER = 0.0
# File (12_A_6.wav):
# - 2.5743125 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on the lights'
# - processed in 2.615 seconds.
# - WER = 0.0
# File (12_B_1.wav):
# - 2.567375 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute unmute'
# - processed in 2.572 seconds.
# - WER = 0.0
# File (12_B_2.wav):
# - 2.493 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop am barch'
# - processed in 2.475 seconds.
# - WER = 1.0
# File (12_B_3.wav):
# - 2.7221875 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pas christiem'
# - processed in 2.707 seconds.
# - WER = 1.0
# File (12_B_4.wav):
# - 2.2765625 seconds long.
# - actual    text: 'next back'
# - processed text: 'next pack'
# - processed in 2.299 seconds.
# - WER = 0.5
# File (12_B_5.wav):
# - 1.03 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 1.028 seconds.
# - WER = 0.0
# File (12_B_6.wav):
# - 1.69 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turned a volame deown'
# - processed in 1.7 seconds.
# - WER = 1.0
# File (12_B_7.wav):
# - 1.82 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'set walliam to six'
# - processed in 1.835 seconds.
# - WER = 0.25
# File (12_C_1.wav):
# - 2.45 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'plac some music by puncchalvi'
# - processed in 2.461 seconds.
# - WER = 0.5
# File (12_C_2.wav):
# - 2.56 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my aighty sirru playlist now'
# - processed in 2.579 seconds.
# - WER = 0.333
# File (12_C_3.wav):
# - 2.36 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'whats imis current fo playing'
# - processed in 2.387 seconds.
# - WER = 0.8
# File (12_C_4.wav):
# - 2.62 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please at the song to my favorites'
# - processed in 2.67 seconds.
# - WER = 0.429
# File (12_C_5.wav):
# - 2.6 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with the music skill'
# - processed in 2.665 seconds.
# - WER = 0.0
# File (12_D_1.wav):
# - 2.77 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'sedden a larm for five fa mplease'
# - processed in 2.828 seconds.
# - WER = 0.714
# File (12_D_2.wav):
# - 2.8 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time ist left an my pizza timee'
# - processed in 2.831 seconds.
# - WER = 0.333
# File (12_D_3.wav):
# - 3.21 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me half the tennist training to night of five'
# - processed in 3.253 seconds.
# - WER = 0.556
# File (12_D_4.wav):
# - 1.87 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'conlol al ma timeers'
# - processed in 1.859 seconds.
# - WER = 1.0
# File (12_D_5.wav):
# - 1.3 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's to dayt'
# - processed in 1.329 seconds.
# - WER = 0.5
# File (12_D_6.wav):
# - 2.22 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when as uster sonday to yer'
# - processed in 2.227 seconds.
# - WER = 0.833
# File (12_E_1.wav):
# - 2.6 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at mil on sheis to my sholping on ust'
# - processed in 2.671 seconds.
# - WER = 0.875
# File (12_E_2.wav):
# - 1.89 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'treat a neu apointment'
# - processed in 1.898 seconds.
# - WER = 0.75
# File (12_E_3.wav):
# - 6.15 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'por toctrs smith on my colendera fo nineteenth of cily at five pim'
# - processed in 6.353 seconds.
# - WER = 0.462
# File (12_E_4.wav):
# - 3.9918125 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remind me to motalone next seeray'
# - processed in 4.038 seconds.
# - WER = 0.5
# File (12_E_5.wav):
# - 3.10725 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'lot reminders do i have for this weekend'
# - processed in 3.158 seconds.
# - WER = 0.125
# File (12_F_1.wav):
# - 2.51 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me articles about politics'
# - processed in 2.531 seconds.
# - WER = 0.0
# File (12_F_2.wav):
# - 1.4621875 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tell me te news'
# - processed in 1.459 seconds.
# - WER = 0.25
# File (12_F_3.wav):
# - 1.9051875 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happened to day'
# - processed in 1.897 seconds.
# - WER = 0.667
# File (12_F_4.wav):
# - 2.44 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'which news tomics are awai able'
# - processed in 2.467 seconds.
# - WER = 0.6
# File (12_F_5.wav):
# - 3.51 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'sub besiness as preferred news cetegary'
# - processed in 3.543 seconds.
# - WER = 0.5
# File (12_F_6.wav):
# - 1.89 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how does to ue skill work'
# - processed in 1.883 seconds.
# - WER = 0.333
# File (12_F_7.wav):
# - 2.28 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'would a drain to day in mentioster'
# - processed in 2.305 seconds.
# - WER = 1.0
# File (12_F_8.wav):
# - 2.59 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's the weather going to be like on sonday'
# - processed in 2.679 seconds.
# - WER = 0.1
# File (12_F_9.wav):
# - 2.68 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'dran ye a numbrella to morrow'
# - processed in 2.767 seconds.
# - WER = 1.0
# File (12_G_1.wav):
# - 4.16 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does take from london to live a bol by car'
# - processed in 4.206 seconds.
# - WER = 0.364
# File (12_G_2.wav):
# - 3.87 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'said malocation to kennington rode for in london'
# - processed in 4.054 seconds.
# - WER = 0.556
# File (12_G_3.wav):
# - 2.24 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'a need help with thenovirgation'
# - processed in 2.251 seconds.
# - WER = 0.4
# File (12_G_4.wav):
# - 3.16 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'what dress arans are within five clomatres'
# - processed in 3.22 seconds.
# - WER = 0.5
# File (12_G_5.wav):
# - 4.06 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far is it to the university of obsfor'
# - processed in 4.096 seconds.
# - WER = 0.111
# File (12_G_6.wav):
# - 4.84 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long does it take from bucking in pales to tower of london on foot'
# - processed in 4.975 seconds.
# - WER = 0.214
# File (12_G_7.wav):
# - 2.31 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'fright nyar burgarasterant nearby'
# - processed in 2.353 seconds.
# - WER = 0.833
# File (12_G_8.wav):
# - 3.03 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's the address of te nearest tescostore'
# - processed in 3.069 seconds.
# - WER = 0.333
# File (12_H_1.wav):
# - 2.74 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feed are in a mile'
# - processed in 2.77 seconds.
# - WER = 0.143
# File (12_H_2.wav):
# - 2.41 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times forty four'
# - processed in 2.431 seconds.
# - WER = 0.167
# File (12_H_3.wav):
# - 3.53 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'whats to undretwenty five devided by five'
# - processed in 3.546 seconds.
# - WER = 0.667
# File (12_H_4.wav):
# - 3.73 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what's fifteen per cent of one hundred tw anty eight'
# - processed in 3.78 seconds.
# - WER = 0.444
# File (12_H_5.wav):
# - 3.67 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is athree hondred thirtie seven a primeber'
# - processed in 3.71 seconds.
# - WER = 0.625
# File (12_I_1.wav):
# - 2.35 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what' te devinision of cet'
# - processed in 2.368 seconds.
# - WER = 0.833
# File (12_I_2.wav):
# - 2.45 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what does to share mean'
# - processed in 2.459 seconds.
# - WER = 0.0
# File (12_I_3.wav):
# - 1.9 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how do you spell date'
# - processed in 1.92 seconds.
# - WER = 0.0
# File (12_I_4.wav):
# - 2.84 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tell me words at that start with an ae'
# - processed in 2.863 seconds.
# - WER = 0.25
# File (12_I_5.wav):
# - 3.6704375 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which werds contain sea o and'
# - processed in 3.674 seconds.
# - WER = 0.5
# File (12_I_6.wav):
# - 1.8 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'cen you translate cass'
# - processed in 1.822 seconds.
# - WER = 0.5
# File (12_I_7.wav):
# - 1.91 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is tholkin cherman'
# - processed in 1.895 seconds.
# - WER = 0.6
# File (12_I_8.wav):
# - 3.54 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'said te number of words for translations to three'
# - processed in 3.77 seconds.
# - WER = 0.222
# File (12_I_9.wav):
# - 2.33 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another wordh for desh fort'
# - processed in 2.371 seconds.
# - WER = 0.5
# File (12_J_1.wav):
# - 2.4583125 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on a living room ligts please'
# - processed in 2.503 seconds.
# - WER = 0.286
# File (12_J_2.wav):
# - 3.83 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'said the temperature and do kitchen to twenty two decrees'
# - processed in 3.974 seconds.
# - WER = 0.4
# File (12_J_3.wav):
# - 2.85 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'said the shutters to fifty per cent'
# - processed in 2.878 seconds.
# - WER = 0.5
# File (12_J_4.wav):
# - 2.36 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'pleased lower e blind by half'
# - processed in 2.386 seconds.
# - WER = 0.5
# File (12_K_1.wav):
# - 2.08 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how old is squenerlezabeth'
# - processed in 2.087 seconds.
# - WER = 0.4
# File (12_K_10.wav):
# - 1.65 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.673 seconds.
# - WER = 0.0
# File (12_K_11.wav):
# - 2.0 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what cond of music to you like'
# - processed in 2.04 seconds.
# - WER = 0.286
# File (12_K_2.wav):
# - 2.42 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'how many people liv in au stralia'
# - processed in 2.45 seconds.
# - WER = 0.5
# File (12_K_3.wav):
# - 2.79 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what' to hid of the iffel tower'
# - processed in 2.835 seconds.
# - WER = 0.625
# File (12_K_4.wav):
# - 1.94 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how long is the river dinupe'
# - processed in 1.98 seconds.
# - WER = 0.167
# File (12_K_5.wav):
# - 3.23 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'how toallis to tall us mountan in the ops'
# - processed in 3.286 seconds.
# - WER = 0.667
# File (12_K_6.wav):
# - 2.99 seconds long.
